,Discipline,Field,Topic
509,"Commerce, Management, Tourism And Services",Tourism,Impacts of tourism 
510,"Commerce, Management, Tourism And Services",Tourism,Tourism forecasting
511,"Commerce, Management, Tourism And Services",Tourism,Tourism management 
512,"Commerce, Management, Tourism And Services",Tourism,Tourism marketing
513,"Commerce, Management, Tourism And Services",Tourism,Tourism resource appraisal 
514,"Commerce, Management, Tourism And Services",Tourism,Tourist behaviour and visitor experience
515,"Commerce, Management, Tourism And Services",Tourism,Tourism n
516,"Commerce, Management, Tourism And Services","Transportation, logistics and supply chains",Air transportation and freight services
517,"Commerce, Management, Tourism And Services","Transportation, logistics and supply chains",Intelligent mobility
518,"Commerce, Management, Tourism And Services","Transportation, logistics and supply chains",Logistics 
519,"Commerce, Management, Tourism And Services","Transportation, logistics and supply chains",Maritime transportation and freight services
520,"Commerce, Management, Tourism And Services","Transportation, logistics and supply chains",Passenger needs
521,"Commerce, Management, Tourism And Services","Transportation, logistics and supply chains",Public transport
522,"Commerce, Management, Tourism And Services","Transportation, logistics and supply chains",Rail transportation and freight services
523,"Commerce, Management, Tourism And Services","Transportation, logistics and supply chains",Road transportation and freight services
524,"Commerce, Management, Tourism And Services","Transportation, logistics and supply chains",Supply chains
525,"Commerce, Management, Tourism And Services","Transportation, logistics and supply chains","Transportation, logistics and supply chains "
526,"Commerce, Management, Tourism And Services","Other commerce, management, tourism and services","Other commerce, management, tourism and services "
527,Creative Arts And Writing,"Art history, theory and criticism",Art criticism
528,Creative Arts And Writing,"Art history, theory and criticism",Art history
529,Creative Arts And Writing,"Art history, theory and criticism",Art theory
530,Creative Arts And Writing,"Art history, theory and criticism",Visual cultures
531,Creative Arts And Writing,"Art history, theory and criticism","Art history, theory and criticism "
532,Creative Arts And Writing,Creative and professional writing,Creative writing (incl. scriptwriting)
533,Creative Arts And Writing,Creative and professional writing,Digital writing
534,Creative Arts And Writing,Creative and professional writing,Professional writing and journalism practice
535,Creative Arts And Writing,Creative and professional writing,Site-based writing
536,Creative Arts And Writing,Creative and professional writing,Technical writing
537,Creative Arts And Writing,Creative and professional writing,Creative and professional writing 
538,Creative Arts And Writing,Music,Music cognition
539,Creative Arts And Writing,Music,Music composition and improvisation
540,Creative Arts And Writing,Music,Music education
541,Creative Arts And Writing,Music,Music performance
542,Creative Arts And Writing,Music,Music technology and recording
543,Creative Arts And Writing,Music,Musicology and ethnomusicology
544,Creative Arts And Writing,Music,Music 
545,Creative Arts And Writing,Performing arts,Applied theatre
546,Creative Arts And Writing,Performing arts,Dance and dance studies
547,Creative Arts And Writing,Performing arts,"Drama, theatre and performance studies"
548,Creative Arts And Writing,Performing arts,Performing arts n
549,Creative Arts And Writing,Screen and digital media,Cinema studies
550,Creative Arts And Writing,Screen and digital media,Computer gaming and animation
551,Creative Arts And Writing,Screen and digital media,Digital and electronic media art
552,Creative Arts And Writing,Screen and digital media,Interactive media
553,Creative Arts And Writing,Screen and digital media,Screen media
554,Creative Arts And Writing,Screen and digital media,Visual effects
555,Creative Arts And Writing,Screen and digital media,Screen and digital media 
556,Creative Arts And Writing,Visual arts,Crafts 
557,Creative Arts And Writing,Visual arts,Fine arts
558,Creative Arts And Writing,Visual arts,Performance art
559,Creative Arts And Writing,Visual arts,"Photography, video and lens-based practice"
560,Creative Arts And Writing,Visual arts,Visual arts 
561,Creative Arts And Writing,Other creative arts and writing,Other creative arts and writing 
562,Earth Sciences,Atmospheric sciences,Adverse weather events
563,Earth Sciences,Atmospheric sciences,Air pollution processes and air quality measurement
564,Earth Sciences,Atmospheric sciences,Atmospheric aerosols
565,Earth Sciences,Atmospheric sciences,"Atmospheric composition, chemistry and processes"
566,Earth Sciences,Atmospheric sciences,Atmospheric dynamics
567,Earth Sciences,Atmospheric sciences,Atmospheric radiation
568,Earth Sciences,Atmospheric sciences,Cloud physics
569,Earth Sciences,Atmospheric sciences,Meteorology
570,Earth Sciences,Atmospheric sciences,Tropospheric and stratospheric physics
571,Earth Sciences,Atmospheric sciences,Atmospheric sciences 
572,Earth Sciences,Climate change science,Climate change processes
573,Earth Sciences,Climate change science,Climatology
574,Earth Sciences,Climate change science,Greenhouse gas inventories and fluxes
575,Earth Sciences,Climate change science,Climate change science 
576,Earth Sciences,Geochemistry,Exploration geochemistry
577,Earth Sciences,Geochemistry,Inorganic geochemistry
578,Earth Sciences,Geochemistry,Isotope geochemistry
579,Earth Sciences,Geochemistry,Organic geochemistry
580,Earth Sciences,Geochemistry,Geochemistry 
581,Earth Sciences,Geoinformatics,Computational modelling and simulation in earth sciences
582,Earth Sciences,Geoinformatics,Earth and space science informatics
583,Earth Sciences,Geoinformatics,Geoscience data visualisation
584,Earth Sciences,Geoinformatics,Geoinformatics 
585,Earth Sciences,Geology,Biomineralisation
586,Earth Sciences,Geology,Geochronology
587,Earth Sciences,Geology,Igneous and metamorphic petrology
588,Earth Sciences,Geology,Marine geoscience
589,Earth Sciences,Geology,Mineralogy and crystallography
590,Earth Sciences,Geology,Palaeontology (incl. palynology)
591,Earth Sciences,Geology,Planetary geology
592,Earth Sciences,Geology,Resource geoscience
593,Earth Sciences,Geology,Sedimentology
594,Earth Sciences,Geology,"Stratigraphy (incl. biostratigraphy, sequence stratigraphy and basin analysis)"
595,Earth Sciences,Geology,Structural geology and tectonics
596,Earth Sciences,Geology,Volcanology
597,Earth Sciences,Geology,Geology 
598,Earth Sciences,Geophysics,Applied geophysics 
599,Earth Sciences,Geophysics,Electrical and electromagnetic methods in geophysics
600,Earth Sciences,Geophysics,Geodesy
601,Earth Sciences,Geophysics,Geodynamics
602,Earth Sciences,Geophysics,Geothermics and radiometrics
603,Earth Sciences,Geophysics,Gravimetrics
604,Earth Sciences,Geophysics,Magnetism and palaeomagnetism
605,Earth Sciences,Geophysics,Petrophysics and rock mechanics
606,Earth Sciences,Geophysics,Seismology and seismic exploration
607,Earth Sciences,Geophysics,Geophysics 
608,Earth Sciences,Hydrology,Contaminant hydrology
609,Earth Sciences,Hydrology,Ecohydrology
610,Earth Sciences,Hydrology,Groundwater hydrology
611,Earth Sciences,Hydrology,Surface water hydrology
612,Earth Sciences,Hydrology,Urban hydrology
613,Earth Sciences,Hydrology,Hydrology 
614,Earth Sciences,Oceanography,Biological oceanography
615,Earth Sciences,Oceanography,Chemical oceanography
616,Earth Sciences,Oceanography,Physical oceanography
617,Earth Sciences,Oceanography,Oceanography 
618,Earth Sciences,Physical geography and environmental geoscience,Geomorphology and earth surface processes
619,Earth Sciences,Physical geography and environmental geoscience,Glaciology
620,Earth Sciences,Physical geography and environmental geoscience,Natural hazards
621,Earth Sciences,Physical geography and environmental geoscience,Palaeoclimatology
622,Earth Sciences,Physical geography and environmental geoscience,Quaternary environments
623,Earth Sciences,Physical geography and environmental geoscience,Regolith and landscape evolution
624,Earth Sciences,Physical geography and environmental geoscience,Physical geography and environmental geoscience 
625,Earth Sciences,Other earth sciences,Earth system sciences
626,Earth Sciences,Other earth sciences,Other earth sciences 
627,Economics,Applied economics,Agricultural economics 
628,Economics,Applied economics,Behavioural economics
629,Economics,Applied economics,Economic history
630,Economics,Applied economics,Economics of education 
631,Economics,Applied economics,Environment and resource economics 
632,Economics,Applied economics,Experimental economics
633,Economics,Applied economics,Financial economics
634,Economics,Applied economics,Health economics 
635,Economics,Applied economics,Industry economics and industrial organisation 
636,Economics,Applied economics,International economics
637,Economics,Applied economics,Labour economics 
638,Economics,Applied economics,Macroeconomics (incl. monetary and fiscal theory)
639,Economics,Applied economics,Public economics - public choice
640,Economics,Applied economics,Public economics - publicly provided goods
641,Economics,Applied economics,Public economics - taxation and revenue
642,Economics,Applied economics,Tourism economics
643,Economics,Applied economics,Transport economics
644,Economics,Applied economics,Urban and regional economics 
645,Economics,Applied economics,Welfare economics
646,Economics,Applied economics,Applied economics n
647,Economics,Econometrics,Cross-sectional analysis 
648,Economics,Econometrics,Econometric and statistical methods
649,Economics,Econometrics,Economic models and forecasting
650,Economics,Econometrics,Panel data analysis
651,Economics,Econometrics,Time-series analysis 
652,Economics,Econometrics,Econometrics 
653,Economics,Economic theory,History of economic thought
654,Economics,Economic theory,Macroeconomic theory 
655,Economics,Economic theory,Mathematical economics 
656,Economics,Economic theory,Microeconomic theory 
657,Economics,Economic theory,Economic theory n
658,Economics,Other economics,Comparative economic systems 
659,Economics,Other economics,Ecological economics
660,Economics,Other economics,Heterodox economics
661,Economics,Other economics,Other economics n
662,Education,Curriculum and pedagogy,"Creative arts, media and communication curriculum and pedagogy"
663,Education,Curriculum and pedagogy,Curriculum and pedagogy theory and development
664,Education,Curriculum and pedagogy,"Economics, business and management curriculum and pedagogy"
665,Education,Curriculum and pedagogy,"English and literacy curriculum and pedagogy (excl. LOTE, ESL and TESOL)"
666,Education,Curriculum and pedagogy,Environmental education curriculum and pedagogy
667,Education,Curriculum and pedagogy,Geography education curriculum and pedagogy
668,Education,Curriculum and pedagogy,"Humanities and social sciences curriculum and pedagogy (excl. economics, business and management)"
669,Education,Curriculum and pedagogy,"LOTE, ESL and TESOL curriculum and pedagogy"
670,Education,Curriculum and pedagogy,Mathematics and numeracy curriculum and pedagogy
671,Education,Curriculum and pedagogy,"Medicine, nursing and health curriculum and pedagogy"
672,Education,Curriculum and pedagogy,Physical education and development curriculum and pedagogy
673,Education,Curriculum and pedagogy,Religion curriculum and pedagogy
674,Education,Curriculum and pedagogy,"Science, technology and engineering curriculum and pedagogy"
675,Education,Curriculum and pedagogy,Vocational education and training curriculum and pedagogy
676,Education,Curriculum and pedagogy,Work integrated learning (incl. internships)
677,Education,Curriculum and pedagogy,Curriculum and pedagogy 
678,Education,"Education policy, sociology and philosophy",Education policy
679,Education,"Education policy, sociology and philosophy",History and philosophy of education
680,Education,"Education policy, sociology and philosophy",Sociology of education 
681,Education,"Education policy, sociology and philosophy","Education policy, sociology and philosophy "
682,Education,Education systems,Continuing and community education
683,Education,Education systems,Early childhood education
684,Education,Education systems,Higher education
685,Education,Education systems,Primary education
686,Education,Education systems,Professional education and training
687,Education,Education systems,Secondary education
688,Education,Education systems,Teacher education and professional development of educators
689,Education,Education systems,"Technical, further and workplace education"
690,Education,Education systems,Education systems 
691,Education,Specialist studies in education,Comparative and cross-cultural education
692,Education,Specialist studies in education,Education assessment and evaluation
693,Education,Specialist studies in education,"Educational administration, management and leadership"
694,Education,Specialist studies in education,Educational counselling
695,Education,Specialist studies in education,Educational technology and computing
696,Education,Specialist studies in education,"Gender, sexuality and education"
697,Education,Specialist studies in education,Inclusive education
698,Education,Specialist studies in education,Learning analytics
699,Education,Specialist studies in education,Learning sciences
700,Education,Specialist studies in education,"Multicultural education (excl. Aboriginal and Torres Strait Islander, Māori and Pacific Peoples)"
701,Education,Specialist studies in education,Special education and disability
702,Education,Specialist studies in education,Teacher and student wellbeing
703,Education,Specialist studies in education,Specialist studies in education 
704,Education,Other Education,Other education 
705,Engineering,Aerospace engineering,Aerospace materials
706,Engineering,Aerospace engineering,Aerospace structures 
707,Engineering,Aerospace engineering,Aircraft performance and flight control systems
708,Engineering,Aerospace engineering,Avionics
709,Engineering,Aerospace engineering,Flight dynamics
710,Engineering,Aerospace engineering,Hypersonic propulsion and hypersonic aerothermodynamics
711,Engineering,Aerospace engineering,"Satellite, space vehicle and missile design and testing"
712,Engineering,Aerospace engineering,Aerospace engineering 
713,Engineering,Automotive engineering,Automotive combustion and fuel engineering
714,Engineering,Automotive engineering,Automotive engineering materials 
715,Engineering,Automotive engineering,Automotive mechatronics and autonomous systems 
716,Engineering,Automotive engineering,Automotive safety engineering
717,Engineering,Automotive engineering,Hybrid and electric vehicles and powertrains
718,Engineering,Automotive engineering,Automotive engineering 
719,Engineering,Biomedical engineering,Biofabrication
720,Engineering,Biomedical engineering,Biomaterials 
721,Engineering,Biomedical engineering,Biomechanical engineering
722,Engineering,Biomedical engineering,Biomedical imaging
723,Engineering,Biomedical engineering,Biomedical instrumentation
724,Engineering,Biomedical engineering,Computational physiology
725,Engineering,Biomedical engineering,Mechanobiology
726,Engineering,Biomedical engineering,Medical devices
727,Engineering,Biomedical engineering,Neural engineering
728,Engineering,Biomedical engineering,Rehabilitation engineering 
729,Engineering,Biomedical engineering,Tissue engineering
730,Engineering,Biomedical engineering,Biomedical engineering 
731,Engineering,Chemical engineering,Carbon capture engineering (excl. sequestration)
732,Engineering,Chemical engineering,Chemical and thermal processes in energy and combustion
733,Engineering,Chemical engineering,Chemical engineering design
734,Engineering,Chemical engineering,Electrochemical energy storage and conversion
735,Engineering,Chemical engineering,Food engineering 
736,Engineering,Chemical engineering,Powder and particle technology
737,Engineering,Chemical engineering,Process control and simulation 
738,Engineering,Chemical engineering,Reaction engineering (excl. nuclear reactions)
739,Engineering,Chemical engineering,Separation technologies
740,Engineering,Chemical engineering,Wastewater treatment processes
741,Engineering,Chemical engineering,Water treatment processes
742,Engineering,Chemical engineering,Chemical engineering 
743,Engineering,Civil engineering,Architectural engineering
744,Engineering,Civil engineering,Civil geotechnical engineering 
745,Engineering,Civil engineering,Complex civil systems
746,Engineering,Civil engineering,Construction engineering 
747,Engineering,Civil engineering,Construction materials
748,Engineering,Civil engineering,Earthquake engineering
749,Engineering,Civil engineering,Fire safety engineering
750,Engineering,Civil engineering,Infrastructure engineering and asset management
751,Engineering,Civil engineering,Structural dynamics
752,Engineering,Civil engineering,Structural engineering 
753,Engineering,Civil engineering,Timber engineering
754,Engineering,Civil engineering,Transport engineering
755,Engineering,Civil engineering,Water resources engineering 
756,Engineering,Civil engineering,Civil engineering n
757,Engineering,Communications engineering,Antennas and propagation
758,Engineering,Communications engineering,Data communications
759,Engineering,Communications engineering,"Molecular, biological, and multi-scale communications"
760,Engineering,Communications engineering,Network engineering
761,Engineering,Communications engineering,Optical fibre communication systems and technologies
762,Engineering,Communications engineering,Satellite communications
763,Engineering,Communications engineering,Signal processing
764,Engineering,Communications engineering,Wireless communication systems and technologies (incl. microwave and millimetrewave)
765,Engineering,Communications engineering,Communications engineering 
766,Engineering,"Control engineering, mechatronics and robotics",Assistive robots and technology
767,Engineering,"Control engineering, mechatronics and robotics",Automation engineering
768,Engineering,"Control engineering, mechatronics and robotics",Autonomous vehicle systems
769,Engineering,"Control engineering, mechatronics and robotics",Biomechatronics
770,Engineering,"Control engineering, mechatronics and robotics",Control engineering
771,Engineering,"Control engineering, mechatronics and robotics",Field robotics
772,Engineering,"Control engineering, mechatronics and robotics",Manufacturing robotics
773,Engineering,"Control engineering, mechatronics and robotics",Mechatronics hardware design and architecture
774,Engineering,"Control engineering, mechatronics and robotics",Medical robotics
775,Engineering,"Control engineering, mechatronics and robotics",Micro-manipulation
776,Engineering,"Control engineering, mechatronics and robotics","Simulation, modelling, and programming of mechatronics systems"
777,Engineering,"Control engineering, mechatronics and robotics","Control engineering, mechatronics and robotics "
778,Engineering,Electrical engineering,Circuits and systems
779,Engineering,Electrical engineering,Electrical circuits and systems
780,Engineering,Electrical engineering,"Electrical energy generation (incl. renewables, excl. photovoltaics)"
781,Engineering,Electrical engineering,Electrical energy storage
782,Engineering,Electrical engineering,"Electrical energy transmission, networks and systems"
783,Engineering,Electrical engineering,Electrical machines and drives
784,Engineering,Electrical engineering,Engineering electromagnetics
785,Engineering,Electrical engineering,Photovoltaic power systems
786,Engineering,Electrical engineering,Electrical engineering 
787,Engineering,"Electronics, sensors and digital hardware",Analog electronics and interfaces
788,Engineering,"Electronics, sensors and digital hardware",Digital electronic devices
789,Engineering,"Electronics, sensors and digital hardware",Digital processor architectures
790,Engineering,"Electronics, sensors and digital hardware","Electronic device and system performance evaluation, testing and simulation"
791,Engineering,"Electronics, sensors and digital hardware",Electronic instrumentation
792,Engineering,"Electronics, sensors and digital hardware",Electronic sensors
793,Engineering,"Electronics, sensors and digital hardware",Industrial electronics
794,Engineering,"Electronics, sensors and digital hardware",Microelectronics
795,Engineering,"Electronics, sensors and digital hardware","Photonic and electro-optical devices, sensors and systems (excl. communications)"
796,Engineering,"Electronics, sensors and digital hardware",Photovoltaic devices (solar cells)
797,Engineering,"Electronics, sensors and digital hardware",Power electronics
798,Engineering,"Electronics, sensors and digital hardware",Quantum engineering systems (incl. computing and communications)
799,Engineering,"Electronics, sensors and digital hardware",Radio frequency engineering
800,Engineering,"Electronics, sensors and digital hardware","Electronics, sensors and digital hardware "
801,Engineering,Engineering practice and education,Engineering design
802,Engineering,Engineering practice and education,Engineering education
803,Engineering,Engineering practice and education,Engineering practice
804,Engineering,Engineering practice and education,Humanitarian engineering 
805,Engineering,Engineering practice and education,Risk engineering
806,Engineering,Engineering practice and education,Systems engineering
807,Engineering,Engineering practice and education,Engineering practice and education n
808,Engineering,Environmental engineering,Air pollution modelling and control
809,Engineering,Environmental engineering,Environmentally sustainable engineering 
810,Engineering,Environmental engineering,Global and planetary environmental engineering
811,Engineering,Environmental engineering,Health and ecological risk assessment
812,Engineering,Environmental engineering,Life cycle assessment and industrial ecology
813,Engineering,Environmental engineering,"Waste management, reduction, reuse and recycling"
814,Engineering,Environmental engineering,Environmental engineering 
815,Engineering,Fluid mechanics and thermal engineering,Aerodynamics (excl. hypersonic aerodynamics) 
816,Engineering,Fluid mechanics and thermal engineering,Bio-fluids
817,Engineering,Fluid mechanics and thermal engineering,Biomedical fluid mechanics 
818,Engineering,Fluid mechanics and thermal engineering,"Computational methods in fluid flow, heat and mass transfer (incl. computational fluid dynamics) "
819,Engineering,Fluid mechanics and thermal engineering,"Experimental methods in fluid flow, heat and mass transfer "
820,Engineering,Fluid mechanics and thermal engineering,Fluid-structure interaction and aeroacoustics 
821,Engineering,Fluid mechanics and thermal engineering,Fundamental and theoretical fluid dynamics  
822,Engineering,Fluid mechanics and thermal engineering,Geophysical and environmental fluid flows
823,Engineering,Fluid mechanics and thermal engineering,Hydrodynamics and hydraulic engineering
824,Engineering,Fluid mechanics and thermal engineering,Microfluidics and nanofluidics
825,Engineering,Fluid mechanics and thermal engineering,Multiphysics flows (incl. multiphase and reacting flows)
826,Engineering,Fluid mechanics and thermal engineering,Non-Newtonian fluid flows (incl. rheology)
827,Engineering,Fluid mechanics and thermal engineering,Turbulent flows 
828,Engineering,Fluid mechanics and thermal engineering,Fluid mechanics and thermal engineering 
829,Engineering,Geomatic engineering,Cartography and digital mapping
830,Engineering,Geomatic engineering,Geospatial information systems and geospatial data modelling
831,Engineering,Geomatic engineering,Navigation and position fixing 
832,Engineering,Geomatic engineering,Photogrammetry and remote sensing
833,Engineering,Geomatic engineering,Satellite-based positioning
834,Engineering,Geomatic engineering,Surveying (incl. hydrographic surveying)
835,Engineering,Geomatic engineering,Geomatic engineering 
836,Engineering,Manufacturing engineering,Additive manufacturing 
837,Engineering,Manufacturing engineering,CAD/CAM systems
838,Engineering,Manufacturing engineering,Flexible manufacturing systems 
839,Engineering,Manufacturing engineering,Industrial engineering
840,Engineering,Manufacturing engineering,Machine tools
841,Engineering,Manufacturing engineering,Machining
842,Engineering,Manufacturing engineering,Manufacturing management
843,Engineering,Manufacturing engineering,Manufacturing processes and technologies (excl. textiles)
844,Engineering,Manufacturing engineering,Manufacturing safety and quality 
845,Engineering,Manufacturing engineering,Microtechnology
846,Engineering,Manufacturing engineering,"Packaging, storage and transportation (excl. food and agricultural products)"
847,Engineering,Manufacturing engineering,Precision engineering
848,Engineering,Manufacturing engineering,Textile technology 
849,Engineering,Manufacturing engineering,Manufacturing engineering 
850,Engineering,Maritime engineering,Marine engineering 
851,Engineering,Maritime engineering,Naval architecture 
852,Engineering,Maritime engineering,Ocean engineering
853,Engineering,Maritime engineering,Ship and platform structures (incl. maritime hydrodynamics)
854,Engineering,Maritime engineering,Special vehicles 
855,Engineering,Maritime engineering,Maritime engineering 
856,Engineering,Materials engineering,Ceramics 
857,Engineering,Materials engineering,Composite and hybrid materials
858,Engineering,Materials engineering,Compound semiconductors
859,Engineering,Materials engineering,Elemental semiconductors
860,Engineering,Materials engineering,Functional materials
861,Engineering,Materials engineering,Glass
862,Engineering,Materials engineering,Metals and alloy materials
863,Engineering,Materials engineering,Organic semiconductors
864,Engineering,Materials engineering,Polymers and plastics
865,Engineering,Materials engineering,"Timber, pulp and paper"
866,Engineering,Materials engineering,Wearable materials
867,Engineering,Materials engineering,Materials engineering n
868,Engineering,Mechanical engineering,Acoustics and noise control (excl. architectural acoustics)
869,Engineering,Mechanical engineering,"Dynamics, vibration and vibration control"
870,Engineering,Mechanical engineering,"Energy generation, conversion and storage (excl. chemical and electrical)"
871,Engineering,Mechanical engineering,Mechanical engineering asset management
872,Engineering,Mechanical engineering,Microelectromechanical systems (MEMS)
873,Engineering,Mechanical engineering,Numerical modelling and mechanical characterisation
874,Engineering,Mechanical engineering,Solid mechanics
875,Engineering,Mechanical engineering,Tribology
876,Engineering,Mechanical engineering,Mechanical engineering 
877,Engineering,Nanotechnology,Micro- and nanosystems
878,Engineering,Nanotechnology,Molecular and organic electronics
879,Engineering,Nanotechnology,Nanoelectromechanical systems
880,Engineering,Nanotechnology,Nanoelectronics
881,Engineering,Nanotechnology,"Nanofabrication, growth and self assembly"
882,Engineering,Nanotechnology,Nanomanufacturing
883,Engineering,Nanotechnology,Nanomaterials
884,Engineering,Nanotechnology,Nanometrology
885,Engineering,Nanotechnology,Nanophotonics
886,Engineering,Nanotechnology,Nanoscale characterisation
887,Engineering,Nanotechnology,Nanotechnology 
888,Engineering,Resources engineering and extractive metallurgy,Electrometallurgy
889,Engineering,Resources engineering and extractive metallurgy,Geomechanics and resources geotechnical engineering 
890,Engineering,Resources engineering and extractive metallurgy,Hydrometallurgy
891,Engineering,Resources engineering and extractive metallurgy,Mineral processing/beneficiation
892,Engineering,Resources engineering and extractive metallurgy,Mining engineering 
893,Engineering,Resources engineering and extractive metallurgy,Nuclear engineering (incl. fuel enrichment and waste processing and storage)
894,Engineering,Resources engineering and extractive metallurgy,Petroleum and reservoir engineering
895,Engineering,Resources engineering and extractive metallurgy,Pyrometallurgy
896,Engineering,Resources engineering and extractive metallurgy,Resources engineering and extractive metallurgy 
897,Engineering,Other engineering,Agricultural engineering 
898,Engineering,Other engineering,Engineering instrumentation 
899,Engineering,Other engineering,Granular mechanics
900,Engineering,Other engineering,Other engineering 
901,Environmental Sciences,Climate change impacts and adaptation,Carbon sequestration science
902,Environmental Sciences,Climate change impacts and adaptation,Ecological impacts of climate change and ecological adaptation
903,Environmental Sciences,Climate change impacts and adaptation,Human impacts of climate change and human adaptation
904,Environmental Sciences,Climate change impacts and adaptation,Climate change impacts and adaptation 
905,Environmental Sciences,Ecological applications,Bioavailability and ecotoxicology
906,Environmental Sciences,Ecological applications,Biosecurity science and invasive species ecology
907,Environmental Sciences,Ecological applications,Ecosystem function
908,Environmental Sciences,Ecological applications,Ecosystem services (incl. pollination)
909,Environmental Sciences,Ecological applications,Fire ecology
910,Environmental Sciences,Ecological applications,Landscape ecology
911,Environmental Sciences,Ecological applications,Ecological applications 
912,Environmental Sciences,Environmental biotechnology,Biodiscovery
913,Environmental Sciences,Environmental biotechnology,Biological control
914,Environmental Sciences,Environmental biotechnology,Bioremediation
915,Environmental Sciences,Environmental biotechnology,Environmental biotechnology diagnostics (incl. biosensors)
916,Environmental Sciences,Environmental biotechnology,Environmental marine biotechnology
917,Environmental Sciences,Environmental biotechnology,Environmental nanotechnology and nanometrology
918,Environmental Sciences,Environmental biotechnology,Environmental biotechnology 
919,Environmental Sciences,Environmental management,Conservation and biodiversity 
920,Environmental Sciences,Environmental management,Environmental assessment and monitoring
921,Environmental Sciences,Environmental management,Environmental education and extension
922,Environmental Sciences,Environmental management,Environmental management
923,Environmental Sciences,Environmental management,Environmental rehabilitation and restoration
924,Environmental Sciences,Environmental management,Natural resource management
925,Environmental Sciences,Environmental management,Wildlife and habitat management
926,Environmental Sciences,Environmental management,Environmental management 
927,Environmental Sciences,Pollution and contamination,Environmental biogeochemistry
928,Environmental Sciences,Pollution and contamination,Noise and wave pollution processes and measurement
929,Environmental Sciences,Pollution and contamination,Groundwater quality processes and contaminated land assessment
930,Environmental Sciences,Pollution and contamination,Surface water quality processes and contaminated sediment assessment
931,Environmental Sciences,Pollution and contamination,Pollution and contamination n
932,Environmental Sciences,Soil sciences,Land capability and soil productivity
933,Environmental Sciences,Soil sciences,Pedology and pedometrics
934,Environmental Sciences,Soil sciences,Soil biology 
935,Environmental Sciences,Soil sciences,Soil chemistry and soil carbon sequestration (excl. carbon sequestration science)
936,Environmental Sciences,Soil sciences,Soil physics 
937,Environmental Sciences,Soil sciences,Soil sciences 
938,Environmental Sciences,Other environmental sciences,Other environmental sciences 
939,Health Sciences,Allied health and rehabilitation science,Arts therapy
940,Health Sciences,Allied health and rehabilitation science,Audiology
941,Health Sciences,Allied health and rehabilitation science,Music therapy
942,Health Sciences,Allied health and rehabilitation science,Occupational therapy
943,Health Sciences,Allied health and rehabilitation science,Orthoptics
944,Health Sciences,Allied health and rehabilitation science,Physiotherapy
945,Health Sciences,Allied health and rehabilitation science,Podiatry
946,Health Sciences,Allied health and rehabilitation science,Prosthetics and orthotics
947,Health Sciences,Allied health and rehabilitation science,Rehabilitation
948,Health Sciences,Allied health and rehabilitation science,Speech pathology
949,Health Sciences,Allied health and rehabilitation science,Allied health and rehabilitation science 
950,Health Sciences,Epidemiology,Behavioural epidemiology
951,Health Sciences,Epidemiology,Disease surveillance
952,Health Sciences,Epidemiology,Environmental epidemiology
953,Health Sciences,Epidemiology,Epidemiological methods
954,Health Sciences,Epidemiology,Epidemiological modelling
955,Health Sciences,Epidemiology,Forensic epidemiology
956,Health Sciences,Epidemiology,Major global burdens of disease
957,Health Sciences,Epidemiology,Nutritional epidemiology
958,Health Sciences,Epidemiology,Occupational epidemiology 
959,Health Sciences,Epidemiology,Social epidemiology
960,Health Sciences,Epidemiology,Epidemiology 
961,Health Sciences,Health services and systems,Aged health care
962,Health Sciences,Health services and systems,Digital health
963,Health Sciences,Health services and systems,Family care
964,Health Sciences,Health services and systems,General practice
965,Health Sciences,Health services and systems,Health and community services
966,Health Sciences,Health services and systems,Health care administration 
967,Health Sciences,Health services and systems,Health counselling 
968,Health Sciences,Health services and systems,Health informatics and information systems
969,Health Sciences,Health services and systems,Health management
970,Health Sciences,Health services and systems,Health surveillance
971,Health Sciences,Health services and systems,Health systems
972,Health Sciences,Health services and systems,Implementation science and evaluation
973,Health Sciences,Health services and systems,Mental health services
974,Health Sciences,Health services and systems,Multimorbidity
975,Health Sciences,Health services and systems,One health
976,Health Sciences,Health services and systems,Palliative care
977,Health Sciences,Health services and systems,Patient safety
978,Health Sciences,Health services and systems,People with disability
979,Health Sciences,Health services and systems,Primary health care
980,Health Sciences,Health services and systems,Residential client care
981,Health Sciences,Health services and systems,Rural and remote health services
982,Health Sciences,Health services and systems,Health services and systems 
983,Health Sciences,Midwifery,Clinical midwifery
984,Health Sciences,Midwifery,Models of care and place of birth
985,Health Sciences,Midwifery,Psychosocial aspects of childbirth and perinatal mental health
986,Health Sciences,Midwifery,Midwifery n
987,Health Sciences,Nursing,Acute care
988,Health Sciences,Nursing,Aged care nursing
989,Health Sciences,Nursing,Community and primary care
990,Health Sciences,Nursing,Mental health nursing
991,Health Sciences,Nursing,Nursing workforce
992,Health Sciences,Nursing,Sub-acute care
993,Health Sciences,Nursing,Nursing n
994,Health Sciences,Public health,Community child health 
995,Health Sciences,Public health,Health equity
996,Health Sciences,Public health,Health promotion
997,Health Sciences,Public health,Injury prevention
998,Health Sciences,Public health,Preventative health care
999,Health Sciences,Public health,Social determinants of health
1000,Health Sciences,Public health,Public health 
1001,Health Sciences,Sports science and exercise,Biomechanics 
1002,Health Sciences,Sports science and exercise,Exercise physiology
1003,Health Sciences,Sports science and exercise,Motor control
1004,Health Sciences,Sports science and exercise,Sports science and exercise 
1005,Health Sciences,"Traditional, complementary and integrative medicine",Chiropractic
